time,expected_voltage,actual_voltage
35.587000,0.518000,0.519852
35.588000,0.518000,0.517664
35.589000,0.518000,0.520477
35.590000,0.518000,0.518289
35.591000,0.518000,0.518914
35.592000,0.518000,0.517664
35.593000,0.518000,0.517664
35.594000,0.518000,0.519227
35.595000,0.518000,0.518602
35.596000,0.518000,0.518914
35.597000,0.518000,0.519227
35.598000,0.518000,0.474539
35.599000,0.518000,0.472351
35.600000,0.472000,0.472038
35.601000,0.472000,0.473288
35.602000,0.472000,0.472351
35.603000,0.472000,0.470476
35.604000,0.472000,0.472976
35.605000,0.472000,0.472351
35.606000,0.472000,0.470788
35.607000,0.472000,0.474539
35.608000,0.472000,0.470476
35.609000,0.472000,0.472038
35.610000,0.472000,0.472038
35.611000,0.472000,0.470163
35.612000,0.472000,0.472976
35.613000,0.472000,0.471726
35.614000,0.472000,0.472351
35.615000,0.472000,0.473288
35.616000,0.472000,0.471101
35.617000,0.472000,0.472663
35.618000,0.472000,0.474851
35.619000,0.472000,0.472038
35.620000,0.472000,0.471101
35.621000,0.472000,0.472351
35.622000,0.472000,0.471726
35.623000,0.472000,0.473288
35.624000,0.472000,0.471413
35.625000,0.472000,0.473913
35.626000,0.472000,0.472663
35.627000,0.472000,0.473601
35.628000,0.472000,0.472038
35.629000,0.472000,0.470788
35.630000,0.472000,0.473913
35.631000,0.472000,0.470788
35.632000,0.472000,0.472976
35.633000,0.472000,0.472351
35.634000,0.472000,0.471726
35.635000,0.472000,0.472351
35.636000,0.472000,0.473913
35.637000,0.472000,0.472976
35.638000,0.472000,0.473288
35.639000,0.472000,0.471726
35.640000,0.472000,0.473288
35.641000,0.472000,0.473288
35.642000,0.472000,0.469851
35.643000,0.472000,0.470476
35.644000,0.472000,0.474226
35.645000,0.472000,0.471413
35.646000,0.472000,0.472663
35.647000,0.472000,0.474226
35.648000,0.472000,0.474539
35.649000,0.472000,0.471726
35.650000,0.472000,0.471413
35.651000,0.472000,0.471101
35.652000,0.472000,0.473601
35.653000,0.472000,0.471413
35.654000,0.472000,0.474226
35.655000,0.472000,0.472663
35.656000,0.472000,0.472976
35.657000,0.472000,0.473601
35.658000,0.472000,0.472976
35.659000,0.472000,0.470788
35.660000,0.472000,0.472038
35.661000,0.472000,0.470788
35.662000,0.472000,0.472038
35.663000,0.472000,0.473288
35.664000,0.472000,0.472038
35.665000,0.472000,0.471726
35.666000,0.472000,0.473601
35.667000,0.472000,0.472351
35.668000,0.472000,0.474539
35.669000,0.472000,0.473288
35.670000,0.472000,0.473288
35.671000,0.472000,0.472351
35.672000,0.472000,0.472976
35.673000,0.472000,0.473601
35.674000,0.472000,0.473601
35.675000,0.472000,0.472351
35.676000,0.472000,0.473288
35.677000,0.472000,0.471413
35.678000,0.472000,0.472663
35.679000,0.472000,0.474851
35.680000,0.472000,0.471726
35.681000,0.472000,0.472351
35.682000,0.472000,0.472976
35.683000,0.472000,0.472663
35.684000,0.472000,0.472976
35.685000,0.472000,0.472663
35.686000,0.472000,0.471101
35.687000,0.472000,0.473288
35.688000,0.472000,0.471726
35.689000,0.472000,0.472663
35.690000,0.472000,0.473601
35.691000,0.472000,0.470788
35.692000,0.472000,0.471726
35.693000,0.472000,0.472038
35.694000,0.472000,0.471101
35.695000,0.472000,0.473913
35.696000,0.472000,0.473913
35.697000,0.472000,0.471413
35.698000,0.472000,0.469538
35.699000,0.472000,0.473913
35.700000,0.472000,0.470788
35.701000,0.472000,0.472663
35.702000,0.472000,0.471101
35.703000,0.472000,0.469851
35.704000,0.472000,0.473601
35.705000,0.472000,0.473288
35.706000,0.472000,0.472663
35.707000,0.472000,0.469851
35.708000,0.472000,0.471101
35.709000,0.472000,0.473601
35.710000,0.472000,0.474851
35.711000,0.472000,0.472038
35.712000,0.472000,0.471101
35.713000,0.472000,0.473288
35.714000,0.472000,0.471413
35.715000,0.472000,0.470788
35.716000,0.472000,0.473288
35.717000,0.472000,0.472351
35.718000,0.472000,0.472351
35.719000,0.472000,0.471101
35.720000,0.472000,0.472976
35.721000,0.472000,0.474539
35.722000,0.472000,0.470788
35.723000,0.472000,0.472351
35.724000,0.472000,0.470163
35.725000,0.472000,0.472038
35.726000,0.472000,0.472663
35.727000,0.472000,0.472663
35.728000,0.472000,0.472351
35.729000,0.472000,0.469851
35.730000,0.472000,0.470163
35.731000,0.472000,0.472351
35.732000,0.472000,0.472663
35.733000,0.472000,0.471101
35.734000,0.472000,0.473913
35.735000,0.472000,0.473288
35.736000,0.472000,0.470788
35.737000,0.472000,0.474539
35.738000,0.472000,0.469538
35.739000,0.472000,0.472976
35.740000,0.472000,0.472663
35.741000,0.472000,0.472663
35.742000,0.472000,0.472038
35.743000,0.472000,0.470476
35.744000,0.472000,0.472038
35.745000,0.472000,0.473288
35.746000,0.472000,0.472351
